Unique Colour Code ,Colour description,status
56,, 
AB,ARTIC BLUE,
AQ,AQUA,
BB,BABY BLUE ,
BG,BURGUNDY ,
BK,BLACK ,
BL,BLUE,
BO,BURNT ORANGE,
BR,BROWN ,
BS,BRUSHED SILVER ,
BX,BLACK ,
CA,CARAMEL,
CB,, 
CG,, 
CL,CLEAR,
CO,COBALT,
CP,COPPER,
CR,CREAM,
D,, 
DE,DENIM,
DG,DARK GREEN,
DK,DARK  ,
E,, 
EM,EMERALD,
FB,FROSTED BLACK,
FG,FROSTED GREEN,
FO,FROSTED ORANGE,
FR,FROSTED RED,
GA,GREY,
GD,GOLD,
GR,GREEN,
GS, , 
GY,GREY,
I,, 
IC,ICEBURG,
IN,, 
K,, 
KH,KHAKI,
L,, 
LB,LIGHT BLUE ,
LG,LIGHT GREEN ,
LI,LIME,
LS,, 
LW,LUSTERWARE,
LZ,LASER,
MB,METALLIC BLUE,
MG,METALLIC GREEN ,
MO,MOCHA,
MR,MAROON ,
MT,MATTE,
MU,MUSTARD,
NA,NATURAL ,
NE,NEON,
NG,NEON GREEN,
NV,NAVY,
OB,OCEAN BLUE,
OL,OLIVE ,
OR,ORANGE,
P,, 
PB,PALE BLUE ,
PE,PEPPER,
PG,PALE GREEN,
PI,PINK,
PL,PLUM,
PP,PASTEL PINK ,
PR,, 
PU,PURPLE,
R,, 
RB,ROYAL BLUE,
RE,RED,
RG,RYE GREEN ,
RT,ROTANTA,
RU,RUST,
SA,SAND,
SB,SKY BLUE,
SF,, 
SI,SILVER,
SL,, 
SM,SMOKE,
SP,SPECKLED,
SS,STAINLESS STEEL,
ST,STONE,
SV,SAVANNAH,
TA,TANGERINE,
TC,TERRACOTTA,
TE,TEAL,
TH,, 
TO,TOPAZ,
WA,WATERMELON,
WG,WOOD GRAIN,
WH,WHITE,
X,, 
Y,, 
YE,, 
